appendix,decision,page,stt,medicine_name,active_ingredient,dosage_form,packaging,standard,shelf_life_months,registration_number,previous_registration_number,renewal_count
Phụ lục I,Cấp giấy đăng ký lưu hành,12,61,Isoniazid 300,Isoniazid 300mg,Viên nén,Hộp 24 vỉ x 28 viên,BP 2021,36,890110052026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,12,62,Dapaquis 10 mg,Dapagliflozin Propanediol tương đương Dapagliflozin 10mg,Viên nén bao phim,Hộp 01 lọ x 30 viên,NSX,24,890110052126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,63,Estisentan 125,"Bosentan monohydrate 129,08mg tương đương với Bosentan 125mg",Viên nén bao phim,"Hộp, 4 vỉ x 14 viên",NSX,36,520110052226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,64,Nicorette Freshmint,Nicotine (dưới dạng nicotine resinate) 2mg,Kẹo cao su,Hộp 1 vỉ x 15 viên,NSX,24,730100052326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,65,Nicorette Freshmint,Nicotine (dưới dạng nicotine resinate) 4mg,Kẹo cao su,Hộp 1 vỉ x 15 viên,NSX,24,730100052426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,66,Flucozal 100mg,Fluconazole 100mg,viên nang cứng,Hộp 1 vỉ x 10 viên,BP hiện hành,36,529110052526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,67,Flucozal 200mg,Fluconazole 200mg,viên nang cứng,Hộp 1 vỉ x 10 viên,BP hiện hành,36,529110052626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,68,Flucozal 50mg,Fluconazole 50mg,viên nang cứng,Hộp 1 vỉ x 14 viên,BP hiện hành,36,529110052726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,69,Prenudol 150 mg,Pregabalin 150mg,Viên nang cứng,Hộp 6 vỉ x 10 viên,NSX,36,599110052826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,13,70,Maxigesic®,"Paracetamol 500mg, Ibuprofen 150mg",Viên nén bao phim,Hộp 1 vỉ x 8 viên; Hộp 2 vỉ x 8 viên; Hộp 3 vỉ x 8 viên; Hộp 1 vỉ x 10 viên; Hộp 2 vỉ x 10 viên; Hộp 3 vỉ x 10 viên,NSX,36,594100052926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,71,Belcaspo 70mg,"Caspofungin (dưới dạng caspofungin acetate 77,69mg) 70mg",Bột pha dung dịch đậm đặc để pha dung dịch truyền,Hộp 1 lọ,NSX,24,840110053026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,72,Emdopa,"Methyldopa khan (dưới dạng Methyldopa hydrate 281,96mg) 250mg",Viên nén bao phim,Hộp 3 vỉ x 10 Viên,BP hiện hành,24,890110053126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,73,Gpson-300,Gabapentin 300mg,Viên nang cứng,Hộp 5 vỉ x 10 viên,NSX,36,890110053226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,74,Apicog-5,Apixaban 5mg,Viên nén bao phim,Hộp 2 vỉ x 10 viên,NSX,24,890110053326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,14,75,Sparshclav- 375,"Amoxicillin (dưới dạng Amoxicillin trihydrat) 250mg, Acid clavulanic (dưới dạng Kali Clavulanat phối hợp với cellulose vi tinh thể tỉ lệ 1:1) 125mg",Viên nén bao phim,Hộp 1 vỉ x 10 viên,NSX,24,890110053426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,76,Levalox 250 mg Film- coated Tablets,Levofloxacin hemihydrate tương đương với levofloxacin 250mg,Viên nén bao phim,Hộp 2 vỉ x 5 viên,NSX,60,383115053526,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,77,Levalox 500 mg Film- coated Tablets,Levofloxacin hemihydrate tương đương với Levofloxacin 500mg,Viên nén bao phim,Hộp 2 vỉ x 5 viên,NSX,60,383115053626,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,78,Monkasta 4 mg,"4,16mg Montelukast Sodium tương đương với montelukast 4mg",Viên nén nhai,Hộp 4 vỉ x 7 viên,NSX,36,383110053726,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,79,Ampril Hl 2.5mg/12.5mg Tablets,"Ramipril 2,5mg, Hydrochlorothiazid e 12,5mg",Viên nén,Hộp 3 vỉ x 10 viên,NSX,36,383110053826,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,80,Gliclada SR 90 mg Modified- release Tablets,Gliclazide 90mg,Viên nén phóng thích kéo dài,Hộp 2 vỉ x 15 viên,NSX,24,383110053926,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,81,Maysiglu 25 mg,Sitagliptin 25mg,Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,24,383110054026,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,82,Maysiglu 50 mg,Sitagliptin 50mg,Viên nén bao phim,Hộp 2 vỉ x 14 viên,NSX,24,383110054126,,
Phụ lục I,Cấp giấy đăng ký lưu hành,15,83,Prenessa Neo 10 mg Tablets,"Perindopril Arginine 10mg tương đương với 6,790mg perindopril",Viên nén,Hộp 3 vỉ x 10 viên; Chất liệu đóng gói vỉ: Aluminium (OPA/Al/P VC) / Aluminium,NSX,24,383110054226,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,84,Prenessa Neo 5 mg Tablets,"Perindopril Arginine 5mg tương đương với 3,395mg perindopril",Viên nén,Hộp 3 vỉ x 10 viên; Chất liệu đóng gói vỉ: Aluminium (OPA/Al/P VC) / Aluminium,NSX,24,383110054326,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,85,Prenewel Neo 10mg/2.5mg Tablets,"Indapamide 2,5mg, Perindopril Arginine 10mg tương đương với 6,790mg perindopril",Viên nén,"Hộp 3 vỉ x 10 viên, Chất liệu đóng gói vỉ: Aluminium (OPA/Al/P VC) / Aluminium",NSX,24,383110054426,,
Phụ lục I,Cấp giấy đăng ký lưu hành,16,86,Prenewel Neo 5mg/1.25mg Tablets,"Indapamide 1,25mg, Perindopril Arginine 5mg tương đương với 3,395mg perindopril",Viên nén,Hộp 3 vỉ x 10 viên; Chất liệu đóng gói vỉ: Aluminium (OPA/Al/P VC) / Aluminium,NSX,24,383110054526,,
